The Little Prince,Antoine de Saint-Exupery,1943
Harry Potter and the Sorcerer’s Stone,J.K. Rowling,1997
And Then There Were None,Agatha Christie,1939
The Dream of the Red Chamber,Cao Xueqin,1791
The Hobbit,J.R.R. Tolkien,1937
She: A History of Adventure,H. Rider Haggard,1887
"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950
